znonanowires.spc - RawData		
"Wavelength nm.,""T%"""	Transmittance	Wavelength
"497.00,60.137"	60.137	497
"498.00,60.245"	60.245	498
"499.00,60.380"	60.38	499
"500.00,60.420"	60.42	500
"501.00,60.487"	60.487	501
"502.00,60.524"	60.524	502
"503.00,60.636"	60.636	503
"504.00,60.693"	60.693	504
"505.00,60.775"	60.775	505
"506.00,60.831"	60.831	506
"507.00,60.960"	60.96	507
"508.00,61.053"	61.053	508
"509.00,61.158"	61.158	509
"510.00,61.222"	61.222	510
"511.00,61.245"	61.245	511
"512.00,61.356"	61.356	512
"513.00,61.414"	61.414	513
"514.00,61.566"	61.566	514
"515.00,61.604"	61.604	515
"516.00,61.658"	61.658	516
"517.00,61.681"	61.681	517
"518.00,61.760"	61.76	518
"519.00,61.894"	61.894	519
"520.00,61.977"	61.977	520
"521.00,62.045"	62.045	521
"522.00,62.066"	62.066	522
"523.00,62.182"	62.182	523
"524.00,62.250"	62.25	524
"525.00,62.312"	62.312	525
"526.00,62.362"	62.362	526
"527.00,62.448"	62.448	527
"528.00,62.579"	62.579	528
"529.00,62.644"	62.644	529
"530.00,62.717"	62.717	530
"531.00,62.762"	62.762	531
"532.00,62.827"	62.827	532
"533.00,62.930"	62.93	533
"534.00,62.980"	62.98	534
"535.00,63.068"	63.068	535
"536.00,63.090"	63.09	536
"537.00,63.157"	63.157	537
"538.00,63.208"	63.208	538
"539.00,63.298"	63.298	539
"540.00,63.381"	63.381	540
"541.00,63.465"	63.465	541
"542.00,63.524"	63.524	542
"543.00,63.610"	63.61	543
"544.00,63.673"	63.673	544
"545.00,63.720"	63.72	545
"546.00,63.755"	63.755	546
"547.00,63.811"	63.811	547
"548.00,63.878"	63.878	548
"549.00,63.945"	63.945	549
"550.00,64.034"	64.034	550
"551.00,64.082"	64.082	551
"552.00,64.175"	64.175	552
"553.00,64.211"	64.211	553
"554.00,64.311"	64.311	554
"555.00,64.365"	64.365	555
"556.00,64.419"	64.419	556
"557.00,64.440"	64.44	557
"558.00,64.467"	64.467	558
"559.00,64.541"	64.541	559
"560.00,64.638"	64.638	560
"561.00,64.701"	64.701	561
"562.00,64.756"	64.756	562
"563.00,64.790"	64.79	563
"564.00,64.854"	64.854	564
"565.00,64.908"	64.908	565
"566.00,64.989"	64.989	566
"567.00,65.048"	65.048	567
"568.00,65.120"	65.12	568
"569.00,65.148"	65.148	569
"570.00,65.230"	65.23	570
"571.00,65.253"	65.253	571
"572.00,65.323"	65.323	572
"573.00,65.366"	65.366	573
"574.00,65.452"	65.452	574
"575.00,65.513"	65.513	575
"576.00,65.543"	65.543	576
"577.00,65.580"	65.58	577
"578.00,65.648"	65.648	578
"579.00,65.710"	65.71	579
"580.00,65.788"	65.788	580
"581.00,65.832"	65.832	581
"582.00,65.875"	65.875	582
"583.00,65.925"	65.925	583
"584.00,65.927"	65.927	584
"585.00,66.026"	66.026	585
"586.00,66.036"	66.036	586
"587.00,66.102"	66.102	587
"588.00,66.141"	66.141	588
"589.00,66.228"	66.228	589
"590.00,66.310"	66.31	590
"591.00,66.305"	66.305	591
"592.00,66.351"	66.351	592
"593.00,66.413"	66.413	593
"594.00,66.465"	66.465	594
"595.00,66.487"	66.487	595
"596.00,66.490"	66.49	596
"597.00,66.551"	66.551	597
"598.00,66.621"	66.621	598
"599.00,66.656"	66.656	599
"600.00,66.697"	66.697	600
"601.00,66.733"	66.733	601
"602.00,66.805"	66.805	602
"603.00,66.850"	66.85	603
"604.00,66.908"	66.908	604
"605.00,66.936"	66.936	605
"606.00,66.949"	66.949	606
"607.00,66.953"	66.953	607
"608.00,67.015"	67.015	608
"609.00,67.079"	67.079	609
"610.00,67.135"	67.135	610
"611.00,67.188"	67.188	611
"612.00,67.225"	67.225	612
"613.00,67.314"	67.314	613
"614.00,67.336"	67.336	614
"615.00,67.423"	67.423	615
"616.00,67.455"	67.455	616
"617.00,67.471"	67.471	617
"618.00,67.507"	67.507	618
"619.00,67.516"	67.516	619
"620.00,67.598"	67.598	620
"621.00,67.605"	67.605	621
"622.00,67.633"	67.633	622
"623.00,67.663"	67.663	623
"624.00,67.713"	67.713	624
"625.00,67.793"	67.793	625
"626.00,67.844"	67.844	626
"627.00,67.886"	67.886	627
"628.00,67.939"	67.939	628
"629.00,67.969"	67.969	629
"630.00,68.015"	68.015	630
"631.00,68.033"	68.033	631
"632.00,68.084"	68.084	632
"633.00,68.136"	68.136	633
"634.00,68.187"	68.187	634
"635.00,68.229"	68.229	635
"636.00,68.254"	68.254	636
"637.00,68.258"	68.258	637
"638.00,68.317"	68.317	638
"639.00,68.356"	68.356	639
"640.00,68.399"	68.399	640
"641.00,68.363"	68.363	641
"642.00,68.406"	68.406	642
"643.00,68.473"	68.473	643
"644.00,68.558"	68.558	644
"645.00,68.627"	68.627	645
"646.00,68.652"	68.652	646
"647.00,68.663"	68.663	647
"648.00,68.660"	68.66	648
"649.00,68.695"	68.695	649
"650.00,68.784"	68.784	650
"651.00,68.843"	68.843	651
"652.00,68.882"	68.882	652
"653.00,68.890"	68.89	653
"654.00,68.900"	68.9	654
