znonanowires.spc - RawData		
"Wavelength nm.,""T%"""	Transmittance	Wavelength
"1144.00,67.527"	67.527	1144
"1145.00,67.510"	67.51	1145
"1146.00,67.447"	67.447	1146
"1147.00,67.462"	67.462	1147
"1148.00,67.421"	67.421	1148
"1149.00,67.392"	67.392	1149
"1150.00,67.324"	67.324	1150
"1151.00,67.250"	67.25	1151
"1152.00,67.214"	67.214	1152
"1153.00,67.207"	67.207	1153
"1154.00,67.175"	67.175	1154
"1155.00,67.180"	67.18	1155
"1156.00,67.134"	67.134	1156
"1157.00,67.147"	67.147	1157
"1158.00,67.079"	67.079	1158
"1159.00,67.043"	67.043	1159
"1160.00,67.018"	67.018	1160
"1161.00,67.018"	67.018	1161
"1162.00,66.972"	66.972	1162
"1163.00,66.920"	66.92	1163
"1164.00,66.821"	66.821	1164
"1165.00,66.798"	66.798	1165
"1166.00,66.727"	66.727	1166
"1167.00,66.712"	66.712	1167
"1168.00,66.724"	66.724	1168
"1169.00,66.717"	66.717	1169
"1170.00,66.702"	66.702	1170
"1171.00,66.644"	66.644	1171
"1172.00,66.639"	66.639	1172
"1173.00,66.617"	66.617	1173
"1174.00,66.572"	66.572	1174
"1175.00,66.513"	66.513	1175
"1176.00,66.426"	66.426	1176
"1177.00,66.376"	66.376	1177
"1178.00,66.372"	66.372	1178
"1179.00,66.407"	66.407	1179
"1180.00,66.372"	66.372	1180
"1181.00,66.313"	66.313	1181
"1182.00,66.235"	66.235	1182
"1183.00,66.203"	66.203	1183
"1184.00,66.184"	66.184	1184
"1185.00,66.200"	66.2	1185
"1186.00,66.256"	66.256	1186
"1187.00,66.233"	66.233	1187
"1188.00,66.179"	66.179	1188
"1189.00,66.069"	66.069	1189
"1190.00,66.070"	66.07	1190
"1191.00,66.040"	66.04	1191
"1192.00,66.028"	66.028	1192
"1193.00,65.935"	65.935	1193
"1194.00,65.877"	65.877	1194
"1195.00,65.816"	65.816	1195
"1196.00,65.786"	65.786	1196
"1197.00,65.757"	65.757	1197
"1198.00,65.720"	65.72	1198
"1199.00,65.654"	65.654	1199
"1200.00,65.648"	65.648	1200
"1201.00,65.646"	65.646	1201
"1202.00,65.666"	65.666	1202
"1203.00,65.644"	65.644	1203
"1204.00,65.599"	65.599	1204
"1205.00,65.541"	65.541	1205
"1206.00,65.465"	65.465	1206
"1207.00,65.450"	65.45	1207
"1208.00,65.398"	65.398	1208
"1209.00,65.398"	65.398	1209
"1210.00,65.317"	65.317	1210
"1211.00,65.254"	65.254	1211
"1212.00,65.151"	65.151	1212
"1213.00,65.074"	65.074	1213
"1214.00,65.084"	65.084	1214
"1215.00,65.090"	65.09	1215
"1216.00,65.054"	65.054	1216
"1217.00,64.938"	64.938	1217
"1218.00,64.800"	64.8	1218
"1219.00,64.754"	64.754	1219
"1220.00,64.762"	64.762	1220
"1221.00,64.737"	64.737	1221
"1222.00,64.695"	64.695	1222
"1223.00,64.613"	64.613	1223
"1224.00,64.549"	64.549	1224
"1225.00,64.502"	64.502	1225
"1226.00,64.414"	64.414	1226
"1227.00,64.305"	64.305	1227
"1228.00,64.248"	64.248	1228
"1229.00,64.233"	64.233	1229
"1230.00,64.223"	64.223	1230
"1231.00,64.129"	64.129	1231
"1232.00,64.036"	64.036	1232
"1233.00,63.950"	63.95	1233
"1234.00,63.896"	63.896	1234
"1235.00,63.874"	63.874	1235
"1236.00,63.814"	63.814	1236
"1237.00,63.746"	63.746	1237
"1238.00,63.612"	63.612	1238
"1239.00,63.557"	63.557	1239
"1240.00,63.483"	63.483	1240
"1241.00,63.373"	63.373	1241
"1242.00,63.316"	63.316	1242
"1243.00,63.248"	63.248	1243
"1244.00,63.224"	63.224	1244
"1245.00,63.085"	63.085	1245
"1246.00,62.995"	62.995	1246
"1247.00,62.868"	62.868	1247
"1248.00,62.834"	62.834	1248
"1249.00,62.781"	62.781	1249
"1250.00,62.761"	62.761	1250
"1251.00,62.640"	62.64	1251
"1252.00,62.513"	62.513	1252
"1253.00,62.366"	62.366	1253
"1254.00,62.310"	62.31	1254
"1255.00,62.235"	62.235	1255
"1256.00,62.224"	62.224	1256
"1257.00,62.159"	62.159	1257
"1258.00,62.063"	62.063	1258
"1259.00,61.945"	61.945	1259
"1260.00,61.844"	61.844	1260
"1261.00,61.746"	61.746	1261
"1262.00,61.640"	61.64	1262
"1263.00,61.537"	61.537	1263
"1264.00,61.505"	61.505	1264
"1265.00,61.480"	61.48	1265
"1266.00,61.431"	61.431	1266
"1267.00,61.339"	61.339	1267
"1268.00,61.156"	61.156	1268
"1269.00,61.026"	61.026	1269
"1270.00,60.888"	60.888	1270
"1271.00,60.859"	60.859	1271
"1272.00,60.763"	60.763	1272
"1273.00,60.685"	60.685	1273
"1274.00,60.588"	60.588	1274
"1275.00,60.549"	60.549	1275
"1276.00,60.492"	60.492	1276
"1277.00,60.380"	60.38	1277
"1278.00,60.257"	60.257	1278
"1279.00,60.103"	60.103	1279
"1280.00,60.072"	60.072	1280
"1281.00,59.972"	59.972	1281
"1282.00,59.908"	59.908	1282
"1283.00,59.773"	59.773	1283
"1284.00,59.686"	59.686	1284
"1285.00,59.608"	59.608	1285
"1286.00,59.500"	59.5	1286
"1287.00,59.405"	59.405	1287
"1288.00,59.361"	59.361	1288
"1289.00,59.317"	59.317	1289
"1290.00,59.207"	59.207	1290
"1291.00,59.068"	59.068	1291
"1292.00,59.020"	59.02	1292
"1293.00,58.945"	58.945	1293
"1294.00,58.835"	58.835	1294
"1295.00,58.693"	58.693	1295
"1296.00,58.623"	58.623	1296
"1297.00,58.560"	58.56	1297
"1298.00,58.466"	58.466	1298
"1299.00,58.400"	58.4	1299
"1300.00,58.327"	58.327	1300
"1301.00,58.281"	58.281	1301
"1302.00,58.245"	58.245	1302
"1303.00,58.161"	58.161	1303
"1304.00,58.100"	58.1	1304
"1305.00,57.958"	57.958	1305
"1306.00,57.855"	57.855	1306
"1307.00,57.729"	57.729	1307
"1308.00,57.699"	57.699	1308
"1309.00,57.639"	57.639	1309
"1310.00,57.534"	57.534	1310
"1311.00,57.457"	57.457	1311
"1312.00,57.365"	57.365	1312
"1313.00,57.394"	57.394	1313
"1314.00,57.307"	57.307	1314
"1315.00,57.283"	57.283	1315
"1316.00,57.148"	57.148	1316
"1317.00,57.081"	57.081	1317
"1318.00,56.973"	56.973	1318
"1319.00,56.905"	56.905	1319
"1320.00,56.900"	56.9	1320
"1321.00,56.868"	56.868	1321
"1322.00,56.805"	56.805	1322
"1323.00,56.682"	56.682	1323
"1324.00,56.626"	56.626	1324
"1325.00,56.616"	56.616	1325
"1326.00,56.545"	56.545	1326
"1327.00,56.432"	56.432	1327
"1328.00,56.322"	56.322	1328
"1329.00,56.293"	56.293	1329
"1330.00,56.317"	56.317	1330
"1331.00,56.261"	56.261	1331
"1332.00,56.160"	56.16	1332
"1333.00,56.071"	56.071	1333
"1334.00,56.042"	56.042	1334
"1335.00,55.983"	55.983	1335
"1336.00,55.949"	55.949	1336
"1337.00,55.904"	55.904	1337
"1338.00,55.817"	55.817	1338
"1339.00,55.760"	55.76	1339
"1340.00,55.665"	55.665	1340
"1341.00,55.694"	55.694	1341
"1342.00,55.585"	55.585	1342
"1343.00,55.520"	55.52	1343
"1344.00,55.457"	55.457	1344
"1345.00,55.468"	55.468	1345
"1346.00,55.413"	55.413	1346
"1347.00,55.329"	55.329	1347
"1348.00,55.189"	55.189	1348
"1349.00,55.134"	55.134	1349
"1350.00,55.063"	55.063	1350
"1351.00,55.055"	55.055	1351
"1352.00,55.003"	55.003	1352
"1353.00,54.962"	54.962	1353
"1354.00,54.952"	54.952	1354
"1355.00,54.949"	54.949	1355
"1356.00,54.872"	54.872	1356
"1357.00,54.812"	54.812	1357
"1358.00,54.618"	54.618	1358
"1359.00,54.550"	54.55	1359
"1360.00,54.514"	54.514	1360
"1361.00,54.560"	54.56	1361
"1362.00,54.514"	54.514	1362
"1363.00,54.344"	54.344	1363
"1364.00,54.295"	54.295	1364
"1365.00,54.264"	54.264	1365
"1366.00,54.179"	54.179	1366
"1367.00,54.172"	54.172	1367
"1368.00,54.087"	54.087	1368
"1369.00,54.138"	54.138	1369
"1370.00,54.088"	54.088	1370
"1371.00,54.079"	54.079	1371
"1372.00,53.978"	53.978	1372
"1373.00,53.810"	53.81	1373
"1374.00,53.723"	53.723	1374
"1375.00,53.689"	53.689	1375
"1376.00,53.564"	53.564	1376
"1377.00,53.507"	53.507	1377
"1378.00,53.372"	53.372	1378
"1379.00,53.359"	53.359	1379
"1380.00,53.280"	53.28	1380
"1381.00,53.286"	53.286	1381
"1382.00,53.203"	53.203	1382
"1383.00,53.166"	53.166	1383
"1384.00,53.100"	53.1	1384
"1385.00,53.000"	53	1385
"1386.00,52.924"	52.924	1386
"1387.00,52.792"	52.792	1387
"1388.00,52.809"	52.809	1388
"1389.00,52.634"	52.634	1389
"1390.00,52.494"	52.494	1390
"1391.00,52.395"	52.395	1391
"1392.00,52.263"	52.263	1392
"1393.00,52.206"	52.206	1393
"1394.00,52.025"	52.025	1394
"1395.00,52.040"	52.04	1395
"1396.00,52.075"	52.075	1396
"1397.00,51.989"	51.989	1397
"1398.00,51.831"	51.831	1398
"1399.00,51.644"	51.644	1399
"1400.00,51.645"	51.645	1400
